A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
Ambidexterity | Description | Ambidexterity is a notable passive skill that grants increased damage for attacks with weapons equipped in the main hand. It also grants increased attack speed with weapons equipped in the off hand.
Ambidexterity | Description | Equipping a weapon in the off hand is only possible while dual wielding or using a shield attack skill.
Ambidexterity | Anointment | Blight anointment to unlock the passive:
Amplified Artefacts | Description | Amplified Artefacts is an notable atlas passive skill.
Amplified Energies | Description | Amplified Energies is an notable atlas passive skill.
Amplify | Description | Amplify is a notable passive skill that grants increased area of effect for skills. It also grants increased damage for any area of effect component of skills that deal damage.
Amplify | Anointment | Blight anointment to unlock the passive:
An Honest Job | Description | An Honest Job is an atlas passive skill exclusive to the Necropolis league.
An Honest Job | Mechanics | Gravekeeper's Boon causes you to consume a nearby Corpse every second to recover 10% of Life and Mana for 30 seconds.
Ancestral Bond | Description | Ancestral Bond is a keystone passive skill that raises the active totem limit by one. As a drawback, the character cannot deal damage directly.
Ancestral Bond | Mechanics | With Ancestral Bond, damage may only be dealt through indirect means such as proxies , minions , and sources unaffected by offensive damage modifiers like reflect , Master Toxicist , or Flame Surge 's burning ground. Despite specifying 'with skills ', this effect is not limited to skills, and will prevent damage by the character's non-skill explosions. [1] It does not prevent self-damage.
Ancestral Bond | Mechanics | While Ancestral Bond prevents damage and effects that require damage, it does not prevent hits or critical strikes. Effects like Culling Strike Support or Power Charge On Critical Support may be used normally.
Ancestral Bond | Location | Ancestral Bond lies on the outer northwest side of the tree, between Templar and Witch, near the Primal Manifestation totem cluster.
Ancestral Echo | Description | Ancestral Echo is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Ancestral Echo | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Totem Damage.
Ancestral Echo | Unique items | The following unique items are related to Ancestral Echo:
Ancestral Guidance | Description | Ancestral Guidance is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Ancestral Guidance | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Totem Damage.
Ancestral Guidance | Unique items | The following unique items are related to Ancestral Guidance:
Ancestral Inspiration | Description | Ancestral Inspiration is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Ancestral Inspiration | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Totem Damage and a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 10% increased Spell Damage.
Ancestral Inspiration | Unique items | The following unique items are related to Ancestral Inspiration:
Ancestral Knowledge | Description | Ancestral Knowledge is a notable passive skill that grants additional intelligence.
Ancestral Might | Description | Ancestral Might is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Ancestral Might | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Totem Damage.
Ancestral Might | Unique items | The following unique items are related to Ancestral Might:
Ancestral Preservation | Description | Ancestral Preservation is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Ancestral Preservation | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Totem Damage.
Ancestral Preservation | Unique items | The following unique items are related to Ancestral Preservation:
Ancestral Reach | Description | Ancestral Reach is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Ancestral Reach | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Totem Damage.
Ancestral Reach | Unique items | The following unique items are related to Ancestral Reach:
Ancient Conflict | Description | Ancient Conflict is an notable atlas passive skill.
Ancient Decay | Description | Ancient Decay is an notable atlas passive skill.
Ancient Hex | Description | Ancient Hex is a notable passive skill added by the Glorious Vanity jewel.
Ancient Writings | Description | Ancient Writings is an notable atlas passive skill.
Annihilation | Description | Annihilation is a notable passive skill that grants increased critical strike chance and additional critical strike multiplier for spells.
Annihilation | Anointment | Blight anointment to unlock the passive:
Anointed Flesh | Description | Anointed Flesh is a notable passive skill that grants benefits related to elemental resistance and elemental ailments. It grants increased maximum Elemental Resistances , reduces the duration of elemental ailments, and the reduces the effect of both the Chill and Shock ailments.
Anointed Flesh | Anointment | Blight anointment to unlock the passive:
Answered Appeals | Description | Answered Appeals is an notable atlas passive skill.
Antifreeze | Description | Antifreeze is a notable passive skill. This passive skill can only appear when placing cluster jewels into the player character's skill tree.
Antifreeze | Description | The mod can only appear in a Small Cluster Jewel with an enchantment Added Small Passive Skills grant: +15% to Cold Resistance or in a Megalomaniac.
Antifreeze | Unique items | The following unique items are related to Antifreeze:
Antivenom | Description | Antivenom is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Antivenom | Description | It is spawnable on non-unique Small Cluster Jewel with the enchantment Added Small Passive Skills grant: +12% to Chaos Resistance.
Antivenom | Unique items | The following unique items are related to Antivenom:
Arbitrary Tenets | Description | Arbitrary Tenets is an Atlas passive skill and Atlas keystone , specifically for the Ritual league encounter.
Arbitrary Tenets | Mechanics | Arbitrary Tenets causes Favours at Ritual Altars in your maps to randomly cost between 90% less and 80% more. These cost alterations are retained on deferred Rewards.
Arbitrary Tenets | Mechanics | As an example, something which costed 1000 Tribute before now has a range of 100 to 1800 Tribute with this Atlas keystone allocated. This averages out to 95% (950 in this case) of the Tribute costs, technically a net benefit overall as long as the player has sufficient tribute to account for the higher variability.
Arbitrary Tenets | Location | As of version 3.22.0, it is located near the center-left of the Atlas passive skill tree inside the Ritual cluster containing Profitable Prayers and Flexible Dogma.
Arcane Adept | Description | Arcane Adept is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Arcane Adept | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 10% increased Spell Damage.
Arcane Adept | Unique items | The following unique items are related to Arcane Adept:
Arcane Capacitor | Description | Arcane Capacitor is a notable passive skill that grants increased maximum mana and a chance to gain the Arcane Surge buff on kill. It also grants increased effect of arcane surge per 200 mana spent recently up to a maximum.
Arcane Capacitor | Description | Note that the arcane surge buff granted on kill is equal to the buff granted from a level 1 Arcane Surge Support.
Arcane Capacitor | Anointment | Blight anointment to unlock the passive:
Arcane Chemistry | Description | Arcane Chemistry is a notable passive skill that grants increased maximum mana. It also grants increased mana recovery from flasks and gradual recovery of flask charges for mana flasks.
Arcane Chemistry | Anointment | Blight anointment to unlock the passive:
Arcane Expanse | Description | Arcane Expanse is a notable passive skill that grants increased Area of Effect for Spell Skills.
Arcane Expanse | Anointment | Blight anointment to unlock the passive:
Arcane Focus | Description | Arcane Focus is a notable passive skill that grants increased maximum energy shield and faster start of energy shield recharge. It also grants additional intelligence.
Arcane Focus | Anointment | Blight anointment to unlock the passive:
Arcane Guarding | Description | Arcane Guarding is a notable passive skill that grants increased energy shield from an equipped shield. It also grants additional chance to block spell damage while holding a shield.
Arcane Guarding | Anointment | Blight anointment to unlock the passive:
Arcane Heroism | Description | Arcane Heroism is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Arcane Heroism | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 10% increased Spell Damage.
Arcane Heroism | Unique items | The following unique items are related to Arcane Heroism:
Arcane Potency | Description | Arcane Potency is a notable passive skill that grants increased critical strike chance and additional critical strike multiplier for spells.
Arcane Potency | Anointment | Blight anointment to unlock the passive:
Arcane Pyrotechnics | Description | Arcane Pyrotechnics is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Arcane Pyrotechnics | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Trap Damage and 12% increased Mine Damage.
Arcane Pyrotechnics | Unique items | The following unique items are related to Arcane Pyrotechnics:
Arcane Retaliation | Description | Arcane Retaliation is a notable passive skill that grants more spell damage if you've been stunned while casting recently.
Arcane Sanctuary | Description | Arcane Sanctuary is a notable passive skill that grants spell block , and increased spell damage and reduced duration of elemental ailments on you while holding a shield.
Arcane Sanctuary | Anointment | Blight anointment to unlock the passive:
Arcane Will | Description | Arcane Will is a notable passive skill that grants increased maximum mana , additional flat mana regeneration and additional intelligence.
Arcane Will | Anointment | Blight anointment to unlock the passive:
Arcanist's Dominion | Description | Arcanist's Dominion is a notable passive skill that grants increased spell damage , increased cast speed and additional intelligence.
Arcanist's Dominion | Anointment | Blight anointment to unlock the passive:
Archaeology Tour | Description | Archaeology Tour is a notable atlas passive skill.
Arcing Blows | Description | Arcing Blows is a notable passive skill that grants increased lightning damage with attack skills and additional lightning resistance penetration with weapons.
Arcing Blows | Anointment | Blight anointment to unlock the passive:
Arcing Shot | Description | Arcing Shot is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Arcing Shot | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Damage with Bows and 12% increased Damage Over Time with Bow Skills.
Arcing Shot | Unique items | The following unique items are related to Arcing Shot:
Armour Mastery (passive skill) | Description | Armour Mastery was a notable passive skill.
Arrow Dancing | Description | Arrow Dancing (formerly known as Arrow Dodging and later Ondar's Guile ) is a keystone passive skill that increases the chance to evade projectile attacks , while decreasing the chance to evade melee attacks.
Arrow Dancing | Specifics | Projectile attacks include almost all arrows, spines, or spikes that are launched. Arrow Dancing has no effect on spell projectiles, as spells cannot be evaded. Community resources such as poedb.tw can be helpful in determining which monster attacks are classified as projectile or melee.
Arrow Dancing | Location | Arrow Dancing is located at the southeast edge of the tree.
Arsenal of Vengeance | Description | Arsenal of Vengeance is a keystone passive skill that causes Retaliation skills to become usable after every sixth hit you take from enemies, instead of their original conditions.
Arsenal of Vengeance | Mechanics | This keystone circumvents the need to block to enable the use of most Retaliation skills, which may be useful for builds with little to no block chance (i.e. non-staff 2-handed builds) or if you lose block chance via the map modifier of Vulnerability - Players cannot Block , Players cannot Suppress Spell Damage , 5% increased Pack size, 8% increased Rarity of Items found in this Area , 13% increased Quantity of Items found in this Area , 50% more Scarabs found in Area (Suffix). However, it can potentially cause longer delays in availability of the skill if the player can block normally; at 17% block chance or higher, you will on average be able to activate Retaliation skills more frequently than with Arsenal of Vengeance.
Arsenal of Vengeance | Mechanics | Note that Arsenal of Vengeance does NOT enable the use of Vengeful Cry , as the keystone only allows "Damaging Retaliation Skills" to become usable. Even with Corrupting Cry Support , Vengeful Cry is not considered a damaging retaliation skill.
Arsenal of Vengeance | Location | Arsenal of Vengeance lies on the far bottom left side of the skill tree between the Marauder's and Duelist's starting areas.
Arsenal of Vengeance | Related unique items | These unique items have the Arsenal of Vengeance modifier, which provides the same effect as this keystone. Taking the keystone in addition to equipping one of these items will impart no additional benefit.
Arsonist | Description | Arsonist is a notable passive skill that additional life regeneration , as well as additional fire damage over time multiplier.
Arsonist | Anointment | Blight anointment to unlock the passive:
Art of the Gladiator | Description | Art of the Gladiator is a notable passive skill that grants increased attack speed and accuracy rating. It grants additional dexterity.
Art of the Gladiator | Description | It also removes inherent movement speed penalties from body armours and shields , effectively granting up to 11% increased movement speed depending on what the character has equipped. Only the "hidden" movement speed penalties from body armours and shields are affected, so additional reduced movement speed modifiers from unique items such as Greed's Embrace will still apply.
Art of the Gladiator | Location | Art of the Gladiator is in the Duelist area, just after the Attack Speed small passives leading out of the Duelist's starting location. It connects to the Bravery - Mana Flows , Dervish , and Fury Bolts passive skill clusters.
Art of the Gladiator | Location | this info is verified in version 3.21, but the current version of the game may differ.
Art of the Gladiator | Anointment | Blight anointment to unlock the passive:
Artefacts of the Vaal | Description | Artefacts of the Vaal is an atlas passive skill. It increases the number of Temporal Incursion encounters in a map from 3 to 4.
As The Mountain | Description | As The Mountain is a notable passive skill that grants chance to block attack damage while dual wielding or holding a shield and maximum attack block chance.
As The Mountain | Anointment | Blight anointment to unlock the passive:
As The Thunder | Description | As The Thunder is a notable passive skill that grants increased warcry duration and warcry buff effect.
As The Thunder | Anointment | Blight anointment to unlock the passive:
Ash, Frost and Storm | Description | Ash, Frost and Storm is a notable passive skill that grants increased elemental damage. It also provides additional effects:
Ash, Frost and Storm | Anointment | Blight anointment to unlock the passive:
Aspect of Stone | Description | Aspect of Stone is a notable passive skill that grants a chance to avoid physical damage from hits.
Aspect of Stone | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Aspect of Stone | Anointment | Blight anointment to unlock the passive:
Aspect of the Eagle | Description | Aspect of the Eagle is a notable passive skill that grants increased damage , increased attack speed and increased accuracy with bows. It also grants damage over time with bow skills.
Aspect of the Eagle | Anointment | Blight anointment to unlock the passive:
Aspect of the Lynx | Description | Aspect of the Lynx is a notable passive skill that grants increased attack damage. It also grants increased critical strike chance for attacks and movement speed.
Aspect of the Lynx | Anointment | Blight anointment to unlock the passive:
Assassination | Description | Assassination is a notable passive skill that grants increased critical strike chance and additional critical strike multiplier.
Assassination | Anointment | Blight anointment to unlock the passive:
Assert Dominance | Description | Assert Dominance is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Assert Dominance | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 10% increased Area Damage.
Assert Dominance | Unique items | The following unique items are related to Assert Dominance:
Assured Strike | Description | Assured Strike is a notable passive skill that grants increased melee damage and increased Melee strike range while at least 5 enemies are nearby.
Assured Strike | Anointment | Blight anointment to unlock the passive:
Astonishing Affliction | Description | Astonishing Affliction is a notable passive skill only found on Medium Cluster Jewels that have an enchantment Added Small Passive Skills grant: 10% increased Effect of Non-Damaging Ailments , or a Megalomaniac.
Astonishing Affliction | Unique items | The following unique items are related to Astonishing Affliction:
Asylum | Description | Asylum is a notable passive skill that grants reduced effect of curses on you. It also grants additional chaos resistance.
Asylum | Anointment | Blight anointment to unlock the passive:
Atrophy | Description | Atrophy is a notable passive skill that grants increased chaos damage , increased Skill Effect Duration.
Atrophy | Anointment | Blight anointment to unlock the passive:
Automaton Studies | Description | Automaton Studies is a notable passive skill added by the Glorious Vanity jewel.
Avatar of Fire | Description | Avatar of Fire is a keystone passive skill that converts 50% of physical damage , lightning damage and cold damage to fire damage. However, the character cannot deal damage with any damage types except fire.
Avatar of Fire | Description | Like other offensive stats, Avatar of Fire's conversion and Deal no Non-Fire Damage do not affect self-damage such as Blood Rage or Forbidden Rite.
Avatar of Fire | Description | In most situations, Avatar of Fire will not synergize with Elemental Equilibrium , since Elemental Equilibrium will add fire resistance to the enemy, while the player is unable to utilize the cold and lightning weakness. One notable use case is when the player summons minions that primarily deal cold and lightning damage. Since minions do not inherit Elemental Equilibrium, the player's fire damage will permanently weaken the enemy to cold and lightning.
Avatar of Fire | Location | Avatar of Fire is located on the left side of the skill tree between the Templar and Marauder starting areas.
Avatar of Fire | Related unique items | These unique items have the Avatar of Fire modifier, which provides the same effect as this keystone. Taking the keystone in addition to equipping one of these items will impart no additional benefit.
Avatar of the Hunt | Description | Avatar of the Hunt is a notable passive skill that grants increased damage with bows and increased damage over time with bow skills. It also grants increased movement speed and a flat bonus to evasion rating.
Avatar of the Hunt | Anointment | Blight anointment to unlock the passive:
Awakened Depths | Description | Awakened Depths is an atlas passive skill.
Awakened Depths | Location | As of version 3.21, it is located at the right side of the tree, on the same cluster with Inspired Darkness (formerly Lightless Legion ). The Votive Hoard - Abyssal Army cluster is few small nodes away in left bottom direction. In top right direction is the Corrupted Gaze cluster.
Awe and Terror | Description | Awe and Terror is a notable passive skill that grants banner skills increased area of effect and causes enemies killed near them to explode , dealing a portion of their life as physical damage.
Awe and Terror | Anointment | Blight anointment to unlock the passive:
Axiom Warden | Description | Axiom Warden is a notable passive skill added by the Elegant Hubris jewel.
Backstabbing | Description | Backstabbing is a notable passive skill that grants increased critical strike chance and additional critical strike multiplier with daggers. It also grants increased critical strike chance against enemies on full life.
Backstabbing | Anointment | Blight anointment to unlock the passive:
Backup Cache | Description | Backup Cache is an atlas passive skill.
Backup Cache | Mechanics | Currency items from strongboxes in your maps are duplicated.
Baleful Augmentation | Description | Baleful Augmentation is a notable passive skill added by the Elegant Hubris jewel.
Ballistics | Description | Ballistics is a notable passive skill that grants increased Projectile Damage and Projectile Speed. It also grants an Flat Bonus to Dexterity.
Ballistics | Anointment | Blight anointment to unlock the passive:
Bannerman | Description | Bannerman is a notable passive skill that causes Banner buffs to linger after leaving the area, and increases the duration of Banner skills.
Bannerman | Anointment | Blight anointment to unlock the passive:
Baptised by Fire | Description | Baptised by Fire is an atlas passive skill.
Baptised by Fire | Mechanics | When the first Searing Exarch influenced pack of monsters spawns in your map , there is a chance it grants double progress towards encountering The Searing Exarch.
Barbarism | Description | Barbarism is a notable passive skill that grants increased maximum life. It also grants additional fire resistance and maximum fire resistance.
Barbarism | Location | It is located in Marauder area of the passive tree, in the outer ring area. Allocated this notable directly on the tree, can also unlock an option of Life Masteries by spending another passive skill point.
Barbarism | Anointment | Blight anointment to unlock the passive:
Basics of Pain | Description | Basics of Pain is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Basics of Pain | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 15% increased Critical Strike Chance.
Basics of Pain | Unique items | The following unique items are related to Basics of Pain:
Bastion Breaker | Description | Bastion Breaker is a notable passive skill that grants increased physical damage with attacks and a chance for hits to ignore physical damage reduction.
Bastion Breaker | Anointment | Blight anointment to unlock the passive:
Bastion of Faith | Description | Bastion of Faith is a notable passive skill that causes Consecrated Ground to also grant reduced duration of damaging ailments that are applied on you.
Bastion of Faith | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Bastion of Faith | Anointment | Blight anointment to unlock the passive:
Battle Rouse | Description | Battle Rouse is a notable passive skill that grants increased maximum mana , and also allows the character to recoup a portion of damage taken as mana.
Battle Rouse | Anointment | Blight anointment to unlock the passive:
Battle Trance | Description | Battle Trance is a notable passive skill that increases the maximum rage limit.
Battle Trance | Anointment | Blight anointment to unlock the passive:
Battle-Hardened | Description | Battle-Hardened is a notable passive skill only found on Large or Small Cluster Jewels. The notable grants increased physical damage , increased evasion rating and increased armour rating.
Battle-Hardened | Unique items | The following unique items are related to Battle-Hardened:
Battlefield Dominator | Description | Battlefield Dominator is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Battlefield Dominator | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Damage with Two Handed Weapons.
Battlefield Dominator | Unique items | The following unique items are related to Battlefield Dominator:
Beacon of Hope | Description | Beacon of Hope is a notable passive skill that grants increased aura area of effect.
Beacon of Hope | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Beacon of Hope | Anointment | Blight anointment to unlock the passive:
Beef | Description | Beef is a notable passive skill that grants additional strength.
Berserking | Description | Berserking is a notable passive skill that grants increased attack speed and increased maximum rage.
Berserking | Anointment | Blight anointment to unlock the passive:
Big Game | Description | Big Game is an atlas passive skill.
Big Game | Mechanics | Einhar encounters in maps have a chance of yellow beasts being replaced by red beasts.
Bismuth Infusion | Description | Bismuth Infusion is an atlas passive skill. It causes ore deposits to be more likely to be Bismuth, and causes Bismuth ore deposits to have a chance to add an additional modifier to affected monsters.
Bitter Heresy | Description | Bitter Heresy is a notable passive skill from Lycia Bloodline Ascendancy class. It causes the user to create Profane Ground instead of Consecrated Ground , and causes their Profane Ground to apply Malediction on enemies and Chaotic Might on allies.
Black Thumb | Description | Black Thumb is an atlas passive skill. It prevents Harvest encounters from spawning in your maps and prevents Harvest Scarabs from dropping. In exchange, it adds additional chance for other Extra Content that can be turned off to appear.
Black Thumb | Mechanics | Abysses , Blight encounters, Breaches , Expedition encounters, Legion encounters, Mirrors of Delirium , Ritual altars, the Sacred Grove , Ore Deposits , and Ultimatum encounters are Extra Content that can be turned off through Atlas passives.
Black Thumb | Mechanics | It is still possible to force the encounter to appear using Map Device crafting and scarabs.
Black Thumb | Ruthless mode | Black Thumb in Ruthless mode does not grant additional chance to find other Extra Content encounters.
Blacksmith (passive skill) | Description | Blacksmith is a notable passive skill only found on a Small Cluster Jewel that has the enchantment : Added Small Passive Skills grant: 15% increased Armour or Added [.] grant: +15% to Fire Resistance , or a Megalomaniac which has 3 random notables.
Blacksmith (passive skill) | Unique items | The following unique items are related to Blacksmith:
Blacksmith's Clout | Description | Blacksmith's Clout is a notable passive skill that grants increased physical damage together with increased damage with ailments with maces and sceptres , as well as additional critical strike multiplier with maces and sceptres.
Blacksmith's Clout | Anointment | Blight anointment to unlock the passive:
Blade Barrier | Description | Blade Barrier is a notable passive skill that grants additional chance to block attack damage and increased weapon damage while dual wielding. It also grants increased block recovery.
Blade Barrier | Anointment | Blight anointment to unlock the passive:
Blade Master | Description | Blade Master is a notable passive skill that grants increased physical damage , increased attack speed and bonus flat accuracy rating with swords. It also grant increased damage with ailments from sword attacks
Blade Master | Anointment | Blight anointment to unlock the passive:
Blade of Cunning | Description | Blade of Cunning is a notable passive skill that grants increased critical strike chance and critical strike multiplier with swords. It also grants increased accuracy while wielding a sword.
Blade of Cunning | Anointment | Blight anointment to unlock the passive:
Bladedancer | Description | Bladedancer is a notable passive skill that grants increased damage with hits and ailments additional melee range with swords.
Bladedancer | Anointment | Blight anointment to unlock the passive:
Blanketed Snow | Description | Blanketed Snow is a notable passive skill only found on Large Cluster Jewels. The notable grants penetration against chilled enemies' cold resistance.
Blanketed Snow | Unique items | The following unique items are related to Blanketed Snow:
Blast Radius | Description | Blast Radius is a notable passive skill that grants increased area of effect and increased area damage.
Blast Radius | Anointment | Blight anointment to unlock the passive:
Blast Waves | Description | Blast Waves is a notable passive skill that grants mine skills increased area of effect and area damage if the player recently detonated a mine.
Blast Waves | Anointment | Blight anointment to unlock the passive:
Blast-Freeze | Description | Blast-Freeze is a notable passive skill only found on Medium or Large Cluster Jewels (read the spawn weight table below for required enchantment ), or on Megalomaniac.
