Abyss | Description | Abysses are interactable objects in instances which spawns cracks and pits that spawn monsters. They can spawn from Act 6 onwards. This encounter is considered Extra Content and has a baseline greater than 8% chance to appear in any map area.
Abyss | Related Atlas passive skills | .
Accuracy | Description | Accuracy is a property of attack hits. Together with the target's evasion , it is used to calculate an attack's chance to hit. Spells do not benefit from accuracy, as they cannot be evaded.
Accuracy | Description | Accuracy can be gained from various sources, such as equipment , buffs , passives , and skills. Player characters inherently gain 2 base accuracy per level , and 2 base accuracy for each point of dexterity.
Accuracy | Mechanics | Accuracy is compared against the target's evasion to determine whether an attack hits or misses according to: [1] [2]
Accuracy | Mechanics | Uncapped Chance to Hit = 1.25 ∗ Attacker's Accuracy Attacker's Accuracy + ( Defender's Evasion ∗ 1 5 ) 0.9 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\text{Uncapped Chance to Hit}}={1.25*{\text{Attacker's Accuracy}} \over {\text{Attacker's Accuracy}}+({\text{Defender's Evasion}}*{\frac {1}{5}})^{0.9}}
Accuracy | Mechanics | Chance to Hit = min ( max ( Uncapped Chance to Hit ,.05 ) , 1 ) \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\text{Chance to Hit}}=\min \left(\max \left({\text{Uncapped Chance to Hit}},.05\right),1\right)
Accuracy | Mechanics | Chance to hit can not be lower than 5%. It can be a maximum of 100%; there is no purpose in trying to exceed 100%.
Accuracy | Mechanics | Area of effect hits from attacks use accuracy in the same way as non-aoe hits; they can be evaded even when monsters are visibly inside an AoE.
Accuracy | Mechanics | In addition to its role in hitting, accuracy is checked a second time when attack hits attempt to deal a critical strike. Failing this accuracy check will cause a hit with sufficient critical strike chance to become a regular hit. This does not affect critical strikes by spells. [3]
Accuracy | Mechanics | Stats that scale from accuracy, such as Obscurantis or Oskarm , reference the accuracy of the skill, not the accuracy of a specific hit. This means conditional accuracy stats do not affect them (e.g. against Marked Enemy, against Unique Enemies, at Close Range ).
Accuracy | Mechanics | Base monster evasion rating depends on monster level. The below formula ignores bonuses from monster type or modifiers.
Accuracy | Mechanics | Evasion = ( 50 + 16 ∗ Level ) ∗ 1.0212 Level \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\text{Evasion}}=(50+16*{\text{Level}})*1.0212^{\text{Level}}
Accuracy | Mechanics | Minions ' attack hits inherently always hit. Minions do still have an accuracy rating, but is only used for conditional stats (e.g. Animate Guardian with Oskarm ) and otherwise has no functional effects.
Accuracy | Related base stats | The following skill gems have stats related to accuracy :
Accuracy | Related quality stats | The following skill gems have stats from quality related to accuracy :
Accuracy | Related quality stats | There are no skill gems that have stats from quality related to accuracy.
Accuracy | Related base stats | The following support gems have stats related to accuracy :
Accuracy | Related quality stats | The following support gems have stats from quality related to accuracy :
Accuracy | Related unique items | The following unique items have special modifiers that involve accuracy:
Accuracy | Passive skills | There are passive skills that grant accuracy bonuses.
Accuracy | Increased accuracy | These passive skills grant increased accuracy rating or additional base accuracy rating.
Accuracy | Accuracy specific to weapon type | These passive skills grant increased accuracy rating while dual wielding.
Accuracy | Accuracy specific to weapon type | These passive skills grant increased accuracy rating with one-handed melee weapons. No results found for the given query.
Accuracy | Accuracy specific to weapon type | These passive skills grant increased accuracy rating with two-handed melee weapons.
Accuracy | Weapon class specific | These passive skills grant increased accuracy rating with axes.
Accuracy | Weapon class specific | These passive skills grant increased accuracy rating with bows.
Accuracy | Weapon class specific | These passive skills grant increased accuracy rating with clawss.
Accuracy | Weapon class specific | These passive skills grant increased accuracy rating with daggers.
Accuracy | Weapon class specific | These passive skills grant increased accuracy rating with maces.
Accuracy | Weapon class specific | These passive skills grant increased accuracy rating with staves.
Accuracy | Weapon class specific | These passive skills grant increased accuracy rating with swords.
Accuracy | Weapon class specific | These passive skills grant increased accuracy rating with wands.
Accuracy | Masteries | The following Masteries are related to Accuracy:
Accuracy | Base Items | The following base items are related to Accuracy:
Action speed | Description | Action speed is a stat that determines how fast or slow a character performs actions, such as running, swinging a weapon, casting a spell, or recoiling from being stunned.
Action speed | Description | The total modifier to the player character's action speed can be viewed on the Character screen under the Defence tab.
Action speed | Mechanics | A character's action speed determines the relative rate at which its animations play, thereby affecting the overall speed that their actions are performed. [1] [2] All of the character's actions that have an animated component are affected by their action speed. [3] This includes moving, attacking and casting (including channelling), throwing traps and mines, shouting warcries, summoning totems, and recovering from stuns.
Action speed | Mechanics | Modifiers to action speed have a multiplicative effect on a character in conjunction with stats that affect the speed of specific actions, such as movement speed , attack speed , cast speed and stun recovery. [1] Action speed does not directly modify such stats. [3] This distinction is relevant for game mechanics that care about any discrete modifiers to those stats. For example, the brand activation frequency of Arcanist Brand is affected by modifiers to the character's cast speed; whereas it is not affected by modifiers to the character's action speed. [2]
Action speed | Mechanics | Some monsters - mainly endgame and league bosses - have the hidden modifier CannotBeSlowedBelowValueBosses , preventing their action speed from dropping below 50%.
Action speed | Action cap | Because the game engine limits players to starting 1 action per server frame, or 30 actions per second, it is possible to reach a point at which speed stats are no longer useful. This is not a typical issue outside extreme cases. This only limits new actions: repeating animations do not count toward the limit, and channelling is unaffected by it entirely. [4]
Action speed | Skill gems | The following skill gems have stats related to action speed :
Action speed | Skill gems | The following skills from items affects action speed:
Action speed | Support gems | The following support gems have stats related to action speed :
Action speed | Support gems | There are no support gems that have stats related to action speed.
Action speed | Unique items | See also: Sublime Vision
Action speed | Passive skills | The following Masteries are related to Action speed:
Ailment duration | Mechanics | All ailments have a fixed base duration , except for Freeze which scales with the ailment threshold of the hit. These durations can be modified, but are not considered skill effects and therefore cannot be modified by skill effect duration modifiers.
Ailment duration | Mechanics | Viper Strike and Puncture are unique in that they have overrides for the default poison and bleed duration respectively with a skill effect, allowing poisons applied by Viper Strike and bleeds applied by Puncture to be modified by skill effect duration modifiers.
Ailment duration | Dealing damage faster | Modifiers that cause ailments to deal Damage #% faster causes the ailment to deal the same amount of total damage over a shorter duration. Multiple sources of "faster" damage application stack additively with each other, and are then applied as a single total, which is multiplicative with all other modifiers. [1] Calculating the effective duration can be done through the following formula:
Ailment duration | Dealing damage faster | For example, an Ignite with a duration of 6 seconds with 30% faster Ignites has a modified duration of 4.6 seconds and will deal 30% more damage per second over that duration, resulting in the same total amount of damage dealt.
Ailment duration | Dealing damage faster | Dealing damage faster does not improve DPS if the damage over time is already at the damage over time cap.
Ailment duration | Ailment reflection | Modifiers that reduce ailment duration on the player will not reduce the duration of reflected ailments since they are already calculated when applying on the enemy. It will simply be copied from the original inflicted ailment duration [2] instead of being recalculated.
Ailment duration | Pantheon | Soul of Abberath grants 60% less Duration of Ignite on You.
Ailment duration | Pantheon | Soul of Shakari grants 50% less Duration of Poisons on You.
Ailment duration | Related unique items | A number of unique items modify ailment duration.
Ailment duration | Cluster Jewel passive skills | The following Cluster Jewel passives are related to Ailment Duration:
Area | Description | Area serves as generic term to describe any separately loaded zone in the game. Areas have various attributes and rule sets attributed them depending on the type of the area. Using the rules of the specific area the game creates a randomized time-limited instance of an area which can be played by the character.
Area | Mechanics | Areas are separately loaded zones in the game with a specific set of attributes and rules. Those attributes can be thought of as a plan on how to create a specific zone.
Area | Mechanics | An area may have multiple layouts defined that are used to create the randomized instances. The layouts dictate specific features of an instance, so that for example the waypoint and quest objectives are always located in roughly the same positions. As an example, on the Ledge there will always be three stones next to the waypoint showing which of the two directions leads to the Climb.
Area | Mechanics | The individual pieces used to create a map zone are often referred to as a tileset. These individual pieces (such as walls, doorways, rivers etc) are designed by hand and are non-randomized themselves, however they are put together semi-randomly to form a coherent zone according to the layout. This allows a high level of variation in each instance while using the same building blocks ("tiles").
Area | Mechanics | Once the tiles have been generated, the instance will be filled with objects according to the area rules. Specific flags on the area will also change area behaviour - a town does not permit use of skills , a map will scale enemies depending on the map tier, etc. Similar to items maps use a hidden tag system that sets certain attribute that govern which modifiers, monsters and other objects can be placed inside the instance and their likelihood. In addition, each area has a default level associated with it which is used both to determine what monsters , Extra Content , modifiers and such are allowed, but also sets the level of any object within the area.
Area | Mechanics | For example, a level 60 area will also contain level 60 strongboxes and monsters. The level may be overridden, for example by delving deeper , using a Voidstone or other modifiers.
Area | Mechanics | Map rules also include settings such as the spawn chance for league-related objects or masters. Generally this is streamlined to a specific number for most areas, but may be fine-tuned in specific areas to balance around the size of the area. Small areas may have less space to spawn certain league related content. Some areas may also have them disabled entirely (such as towns or Vaal side areas ).
Area | Mechanics | Areas can be connected to each other allowing characters to pass from one area to another. Most of the story areas throughout the Acts are connected in some fashion to each other which can be seen on the world map. Areas also have a parent area which is used to determine where the character respawns after death. Usually this is the most recent town area.
Area | Instances | An instance is a specific, randomly generated zone using the rules defined by the area. It holds the current state of the zone, so whenever an item is dropped or a monster is killed that will be saved within the instance.
Area | Instances | The game automatically creates an instance when a player tries to join an area with the region based on the player's realm choice. If there is an existing instance already created by the player or a party member, then it will be joined instead.
Area | Instances | Instances with no players in them continue to exist for a limited time (about 8-15 minutes in instances created in acts, but much longer for instances created from the map device). The instance is destroyed after the time elapses, along with the items and monsters inside it.
Area | Instances | When entering an area in Acts, holding Control key displays existing instances of the area, and allows the player to create a new instance. The latter can be used to "reset" an area and start it again with a new layout, set of monsters, etc.
Area | Instances | Most instances can hold up to six players at once, with the exception of towns which can hold many more.
Area | Examples | Friendly areas:
Area | Examples | Hostile areas:
Area of effect | Description | Area of effect (often referred to as AoE ) refers to mechanics (such as skills, auras, and monster abilities) that apply to an area of the ground (rather than targeting a particular character, monster, etc.).
Area of effect | Description | Many AoE mechanics deal damage, but AoE mechanics can have other effects. For example, auras produce positive effects on allies within the area, while curses like Temporal Chains produce negative effects on enemies.
Area of effect | Description | While AoE mechanics can affect multiple characters or monsters within the area, not all mechanics that can affect multiple characters or monsters are AoE mechanics. For example, Ice Spear targets a single monster rather than an area, so it is not an AoE skill, even though it creates piercing projectiles that can hit other nearby monsters as well.
Area of effect | Usage | The term "area of effect" or "AoE" is used in several different ways:
Area of effect | Examples | The simplest examples of AoE mechanics are skills like Shock Nova , Ice Nova and Sweep , which create circular areas of effect. Other AoE skills like Cleave and Ground Slam create cone-shaped areas of effect, while others like Flame Surge or Glacial Cascade have more complicated areas of effect.
Area of effect | How modifiers to AoE sizes work | Support gems and other mechanics can increase or decrease the size of an area of effect, almost always by a percentage, e.g. 30% increased Area of Effect. These percentages refer to the total amount of ground covered by the area of effect, not to the area of effect's radius, diameter, or other dimensions. For example, a 100% increased Area of Effect modifier applied to Shock Nova 's circular area of effect will double the area of ground covered by the circle. The mathematics of that mean that the circle's radius and diameter will increase by around 40%.
Area of effect | How modifiers to AoE sizes work | If multiple percentage-based modifiers apply to the same area of effect, they add together. For example, if 40% increased Area of Effect , 20% increased Area of Effect , and 30% decreased Area of Effect modifiers all apply to the same area of effect, the area of effect's size will increase by 30% (40+20-30).
Area of effect | How modifiers to AoE sizes work | A few mechanics apply a specific increase (usually expressed as an integer) to a dimension of the area of effect. For example, the skill gem level bonus for Caustic Arrow specifically grants a +(0-6) to radius increase to the Caustic Arrow area of effect. These specific types of modifiers always apply before percentage-based modifiers are applied to the total area of effect. [ confirmation needed ] This means that dimension-specific modifiers tend to have a greater impact on the area of effect's final size.
Area of effect | Calculations | Distances are displayed in metres, however all calculations are done using internal units equal to 0.1m. Any calculation that would produce a result that is not a multiple of 0.1m will be rounded down.
Area of effect | Calculations | We can calculate the increased area of effect ( A o E % \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}AoE\% ) required to increase a certain base radius r b \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}r_{b} to a desired increased radius r i \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}r_{i} using the formula for area of a circle:
Area of effect | Calculations | π r i 2 = 100 + A o E % 100 × π r b 2 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}\pi r_{i}^{2}={\frac {100+AoE\%}{100}}\times \pi r_{b}^{2}
Area of effect | Calculations | Cancelling out π \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}\pi and dividing both sides by r b 2 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}r_{b}^{2} we get
Area of effect | Calculations | r i 2 r b 2 = ( r i r b ) 2 = 100 + A o E % 100 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\frac {r_{i}^{2}}{r_{b}^{2}}}=({\frac {r_{i}}{r_{b}}})^{2}={\frac {100+AoE\%}{100}}
Area of effect | Calculations | Taking the square root of both sides shows that the proportion of the increased radius to the base radius is equal to the square root of the multiplier to area.
Area of effect | Calculations | r i r b = 100 + A o E % 100 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\frac {r_{i}}{r_{b}}}={\sqrt {\frac {100+AoE\%}{100}}}
Area of effect | Calculations | This suggests that an area's radius can be increased from 28 to 30 with 15% increased area of effect:
Area of effect | Calculations | ( 30 28 ) 2 ≈ 1.148 < 100 + 15 100 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}({\frac {30}{28}})^{2}\approx 1.148<{\frac {100+15}{100}}
Area of effect | Calculations | However , the square root of increased AoE is truncated to two decimal places before multiplying the radius, thus 15% increased AoE only results in a radius of
Area of effect | Calculations | 28 × 100 + 15 % 100 = 28 × 1.07238 ≈ 28 × 1.07 = 29.96 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}28\times {\sqrt {\frac {100+15\%}{100}}}=28\times 1.07238\approx 28\times 1.07=29.96
Area of effect | Calculations | Similarly, 1.16 ≈ 1.077 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\sqrt {1.16}}\approx 1.077 is also truncated to 1.07, thus the breakpoint to increase a radius of 28 to 30 is 17% increased AoE. [1]
Area of effect | Mechanics with both AoE and non-AoE aspects | Some mechanics' effects may have both AoE and non-AoE aspects. Modifiers that apply to "area of effect" will only apply to the AoE aspect of these mechanics.
Armour | Description | Armour is a form of defence that mitigates incoming physical damage from hits. Armour can implicitly appear on equipment , much like evasion , energy shield , and ward. Armour rating can be increased by wearing equipment , taking certain passive skills , using skills (e.g. Determination and Molten Shell ), and drinking flasks (e.g. Granite Flask and Basalt Flask ).
Armour | Mechanics | Armour grants physical damage reduction against hits , with the exact amount of damage reduction depending on the relative magnitude of the character's armour value and the physical damage of the hit. If the armour value is significantly larger than the damage, most of that damage is prevented. If the armour value is similar to or less than the incoming damage, only a small percentage of that damage will be prevented. For some numeric examples of how damage reduction changes based on armour, see the rule of thumb section later on this page.
Armour | Mechanics | As a result armour is more effective against many smaller hits than fewer larger hits, even if both scenarios represent the same total damage in the same amount of time. For a character with extreme investment in armour, what is considered a 'smaller hit' (receiving 75% damage reduction) can be 5000 damage or more. A character with only a minor investment in armour will encounter the limiting case where the damage reduction is very low (less than 5%) and the maximum damage that armour can prevent per hit is only one fifth of the armour value.
Armour | Mechanics | Armour never mitigates damage over time , as armour only applies to hits. Bleed is an ailment that deals physical damage over time that is based on the initial physical damage of an attack or spell; armour will reduce the initial hit but not the damage over time. However, both the initial hit and the damage over time can be mitigated with sources of #% additional Physical Damage Reduction , such as endurance charges or the suffix of Numbing of Numbing Suffix (3-4)% additional Physical Damage Reduction found on some body armours that require strength to equip. Physical damage reduction is capped at 90%. [1] The statsheet physical damage reduction combines Armour and Physical Damage Reduction values, making it unreliable for calculating effective damage reduction.
Armour | Mechanics | Normally, armour will only grant damage reduction against physical hits, not elemental or chaos damage. However, with the Transcendence keystone or other items (e.g Doryani's Prototype ) or passives (e.g. Juggernaut ), armour can apply to non-physical hits. In cases where armour mitigates multiple types of damage, it does so separately for each type it mitigates. If you make armour apply to lightning damage as well as physical damage, then take a hit containing both physical and lightning damage, then armour will calculate Physical Damage Reduction based on comparing the physical damage to armour, and apply that only to the physical damage, and will calculate Lightning Damage Reduction based on comparing the lightning damage to armour, and apply that only to the lightning damage. [2]
Armour | Mechanics | In the order of damage mitigation , damage reduction from armour is calculated after damage shifts and resistances (if applicable), but before modifiers to damage taken and spell suppression. [3] [4]
Armour | Rule of thumb | When the damage of a hit significantly exceeds Armour, it will never prevent more damage than its value divided by 5 (e.g. 1000 armour will never prevent more than 200 damage at its minimum percentage prevention).
Armour | Armour on monsters | Monsters also have armour values. The general amount of armour on monsters will increase as monster level increases, with monster types like stone golems and zombies having relatively high amounts of armour compared to hellions or sea witches. Boss monsters similarly increase in armour rating throughout the campaign. For example, Malachai, The Nightmare has 783 armour, while early map bosses such as Piety the Empyrean can have around 7000 armour depending on map level. Endgame bosses such as The Elder or Sirus, Awakener of Worlds have over 20000 and 32000 armour respectively. [ confirmation needed ]
Armour | Formulas | The amount of physical damage reduction is a function of armour rating and the physical damage taken.
Armour | Formulas | This is the base formula all other formulas are based upon. It is used to calculate the #% additional Physical Damage Reduction when Hit factor, i.e. the percentage by which the physical damage is mitigated.
Armour | Formulas | D R ( A , D r a w ) = A A + 5 ∗ D r a w \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}DR(A,D_{raw})={A \over A+5*D_{raw}}
Armour | Formulas | where A is the defender's armour rating and D raw is the raw physical damage.
Armour | Formulas | To calculate the armour rating you need to mitigate a given amount of Physical Damage at specific ratio, you can use this formula:
Armour | Formulas | A ( D r a w , D R ) = D R ∗ 5 ∗ D r a w 1 − D R \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}A(D_{raw},DR)={DR*5*D_{raw} \over 1-DR}
Armour | Formulas | You can also calculate the raw physical damage that would have resulted for a given Physical Damage Reduction and Armour rating:
Armour | Formulas | D r a w ( A , D R ) = A 5 ∗ D R − A 5 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}D_{raw}(A,DR)={A \over 5*DR}-{A \over 5}
Armour | Formulas | To calculate the net physical damage i.e. the damage after damage reduction, the following formula can be used:
Armour | Formulas | D n e t ( A , D r a w ) = 5 ∗ D r a w 2 A + 5 ∗ D r a w \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}D_{net}(A,D_{raw})={5*{D_{raw}}^{2} \over A+5*D_{raw}}
Armour | Formulas | Another way of looking at it is in terms of absolute physical damage reduction:
Armour | Formulas | D R a b s ( A , D r a w ) = A ∗ D r a w A + 5 ∗ D r a w \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}DR_{abs}(A,D_{raw})={A*{D_{raw}} \over A+5*D_{raw}}
Armour | Formulas | D F ( A , D r a w ) = A 5 ∗ D r a w + 1 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}DF(A,D_{raw})={A \over 5*D_{raw}}+1
Armour | Related base stats | The following skill gems have stats related to armour :
Armour | Related quality stats | The following skill gems have stats from quality related to armour :
Armour | Related base stats | The following support gems have stats related to armour :
Armour | Related base stats | There are no support gems that have stats related to armour.
Armour | Related quality stats | The following support gems have stats from quality related to armour :
Armour | Related quality stats | There are no support gems that have stats from quality related to armour.
Armour | Unique Items | The following items provide some bonuses that scale with Armour rating.
Armour | Notable Armour Rating | Unique items that can potentially grant upwards of 1,000 Armour rating.
Armour | Global Armour increases | Unique items that grant increased global Armour rating.
Armour | Global flat Armour | Unique items that grant a flat bonus to global Armour rating.
Armour | Armour shields | No results found
Armour | Passive skills | There are passive skills that grant armour bonuses.
Armour | Base passives | These passive skills grant increased armour rating or additional base armour rating. The Iron Reflexes keystone is special in that it converts evasion rating to armour rating.
Armour | Masteries | The following Masteries are related to armour:
Armour | Cluster jewel passives | The following cluster jewel -only passives are related to armour:
Aspect | Description | Aspect skills are granted by items. The skills reserve mana to provide various buffs in a similar way to heralds. Aspect skills are considered spells.
Aspect | Description | Only one aspect skill can be active at a time and they have a base mana reservation of 25%.
Aspect | Aspects | The list below displays the Aspect skills and which unique item grants them.
Aspect | Aspects | Through certain beastcrafting recipes, the level 20 versions of Aspect skills can be crafted onto other items as a suffix as well. The Black Mórrígan unlocks beastcrafting recipes that grant a level 30 version of Aspect skills.
Aspect | Aspects | Aspect of the Cat and Aspect of the Avian have level 35 versions that are only available in Legacy of Phrecia.
Aspect | Unique Items | The list below displays unique items related to the Aspect skills.
Aspect | Monster versions | Monsters have their own version of Aspect mod:
Attack speed | Description | Attack speed is a property of attack skills. In combination with action speed , it determines the speed with which attack animations can be performed.
Attack speed | Mechanics | Most attack skills receive their base attack time from the equipped weapon. Base attack time while unarmed is 0.83s, while shield skills such as Shield Crush receive a base attack time from their gem instead. Attack time is used to calculate the number of attacks per second, the typical measure of attack speed displayed on weapons and the character sheet. [1]
Attack speed | Mechanics | Attack speed modifiers can increase or decrease a skill's attacks per second. These modifiers only affect attacks. Other types of skills have their own speed stats, such as #% increased Cast speed or #% increased Warcry speed. Similar to other animations, the practical duration of attacks is also affected multiplicatively by action speed modifiers like Chill and Tailwind.
Attack speed | Mechanics | Triggered attacks are instant, though they still have an attack time for the purpose of stats like #% chance to deal Double Damage with Attacks if Attack Time is longer than 1 second.
Attack speed | Characters | All characters have the following attack speed modifiers in their base stats.
Attack speed | Related base stats | The following skill gems have stats related to attack speed :
Attack speed | Related quality stats | The following skill gems have stats from quality related to attack speed :
Attack speed | Related base stats | The following support gems have stats related to attack speed :
Attack speed | Related quality stats | The following support gems have stats from quality related to attack speed :
Attack speed | Base items | A list of base items that affect attack speed.
Attack speed | Unique items | A list of unique items that affect attack speed.
Attack speed | Passive skills | There are passive skills that grant attack speed bonuses.
Attack speed | Attack speed | These passive skills grant increased attack speed.
Attack speed | Attack speed specific to equipment types | These passive skills grant increased attack speed while dual wielding.
Attack speed | Attack speed specific to equipment types | These passive skills grant increased attack speed while holding a shield.
Attack speed | Attack speed specific to equipment types | These passive skills grant increased attack speed with melee weapons.
Attack speed | Attack speed specific to equipment types | These passive skills grant increased attack speed with one-handed melee weapons.
Attack speed | Attack speed specific to equipment types | These passive skills grant increased attack speed with two-handed melee weapons.
Attack speed | Attack speed specific to weapon class | These passive skills grant increased attack speed with axes.
Attack speed | Attack speed specific to weapon class | These passive skills grant increased attack speed with claws.
Attack speed | Attack speed specific to weapon class | These passive skills grant increased attack speed with daggers.
Attack speed | Attack speed specific to weapon class | These passive skills grant increased attack speed with maces.
Attack speed | Attack speed specific to weapon class | These passive skills grant increased attack speed with staves. No results found for the given query.
Attack speed | Attack speed specific to weapon class | These passive skills grant increased attack speed with swords.
Attack speed | Attack speed specific to weapon class | These passive skills grant increased attack speed with wands.
Attack speed | Attack speed specific to weapon class | These passive skills grant increased attack speed with bows.
Attack speed | Attack speed specific to skill types | These passive skills grant increased attack speed for totems.
Attack speed | Attack speed specific to skill types | These passive skills grant increased attack speed for minions.
Attack speed | Masteries | The following Masteries are related to attack speed:
Attack speed | Cluster Jewel keystone passive skills | The following Cluster Jewel keystone passive skills are related to attack speed:
Attack speed | Ascendancy passive skills | The following Ascendancy passive skills are related to attack speed:
Avoidance | Description | Avoidance is a keyword used to describe several different chance-based forms of mitigation against hits , certain types of damage , or debuffs or other mechanics.
Avoidance | Mechanics | Avoidance can be categorized into three major categories: hit avoidance, damage avoidance, and mechanic avoidance.
Avoidance | Hit avoidance | Hit avoidance currently is primarily against projectiles, typically worded as #% chance to avoid Projectiles , which prevents a hit /collision from a projectile, causing it to pass through the target as if it were evaded or dodged.
Avoidance | Hit avoidance | Hit avoidance prevents the hit entirely and will not trigger any on-hit/when-hit effects or projectile behaviours or reduce remaining projectile behaviour counts (e.g. pierce ).
Avoidance | Hit avoidance | While worded similarly, Avoid Projectiles that have Chained does not appear to be a conditional 100% chance to avoid projectiles: it does not prevent the collision.
Avoidance | Damage avoidance | Damage avoidance, typically worded as #% chance to Avoid X Damage from Hits , is a form of damage mitigation against hits that reduces the damage of certain damage types to 0. It is considered preventing damage for stats like Untiring or Divine Shield. Avoiding all damage from hits does not prevent or undo the hit; on-hit/when-hit effects will still occur for both the attacker and defender. [1] Avoidance should not be confused with evasion , dodge , block , or immunity to damage. [2]
Avoidance | Damage avoidance | The chance to avoid damage from hits is hard capped at 75%. [3]
Avoidance | Damage avoidance | Resolve Avoidance , a mechanic found exclusively in the Forbidden Sanctum , functions similarly to damage avoidance; it does not prevent the hit, but will prevent all Resolve loss from the hit.
Avoidance | Mechanic avoidance | Mechanic avoidance is the most commonly found type of avoidance that applies to different types of debuffs or mechanical effects. Mechanic avoidance is most often used in the context of ailment avoidance. Stacking 100%+ chance to avoid X ailment is functionally identical to having the stat Cannot be X-ed , although the inverse is not true for stats such as the one found on Stormshroud. This form of ailment defence is distinct from ailment immunity in that achieving 100% ailment avoidance will not remove any existing stacks of that ailment. [4] Ailment avoidance is absolute and will prevent the avoided ailment from being inflicted, even if the attacker has a 100% chance to inflict or "always" inflicts ailments - these chances are multiplicative against each other. Avoided ailments are not counted as inflicted by the attacker.
